Agency Name,Agent Name,Birth Date,Age,First,Last,Combined Names, COST 18-19 , PC 18-19 , COST 19-20 , PC 19-20 , COST 20-21 , PC 20-21 , COST 21-22 , PC 21-22 , COST 22-23 , PC 22-23 , COST 23-24 , PC 23-24 , Dollars Captured Above/ Below Value ,Value Capture %, Total Cost , Total PC 
Forward Hockey,Daniel Plante,08/24/1988,36,Brad,Hunt,Brad Hunt," $650,000 "," $2,278,878 "," $700,000 "," $2,677,188 "," $700,000 "," $14,726 "," $800,000 "," $1,832,189 "," $400,000 "," $1,630,228 "," $450,000 "," $466,735 "," $(5,199,944)",42%," $3,700,000 "," $8,899,944 "
Forward Hockey,Daniel Plante,05/17/1998,26,Cole,Koepke,Cole Koepke, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $174,085 "," $652,804 "," $(478,719)",27%," $174,085 "," $652,804 "
Forward Hockey,Daniel Plante,12/13/1997,27,Blake,Lizotte,Blake Lizotte, $-   , $-   , $-   , $-   , $-   , $-   ," $800,000 "," $2,967,483 "," $1,675,000 "," $2,585,303 "," $1,675,000 "," $2,358,603 "," $(3,761,389)",52%," $4,150,000 "," $7,911,389 "
Forward Hockey,Daniel Plante,12/10/1992,32,Jaycob,Megna,Jaycob Megna," $464,634 "," $618,766 "," $700,000 "," $113,440 ", $-   , $-   ," $541,463 "," $1,686,610 "," $750,000 "," $1,852,456 "," $775,000 "," $376,124 "," $(1,416,298)",70%," $3,231,098 "," $4,647,396 "
Forward Hockey,Daniel Plante,02/01/1990,35,Jayson,Megna,Jayson Megna," $319,085 "," $436,009 "," $77,683 "," $305,769 "," $364,146 "," $537,195 "," $354,878 "," $640,441 "," $354,878 "," $(318,378)"," $404,573 "," $606,045 "," $(331,837)",85%," $1,875,244 "," $2,207,081 "
Forward Hockey,Daniel Plante,11/15/1998,26,Ben,Meyers,Ben Meyers, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $775,000 "," $113,658 "," $661,342 ",682%," $775,000 "," $113,658 "
Forward Hockey,Daniel Plante,01/24/1999,26,Dylan,Samberg,Dylan Samberg, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,300,000 "," $3,127,513 "," $(1,827,513)",42%," $1,300,000 "," $3,127,513 "
"Wasserman Media Group, LLC",Daren Hermiston,09/20/1998,26,Dylan,Ferguson,Dylan Ferguson, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $100,000 "," $776,151 ", $-   , $-   ," $(676,151)",13%," $100,000 "," $776,151 "
"Wasserman Media Group, LLC",Daren Hermiston,07/27/1998,26,Sam,Malinski,Sam Malinski, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $400,305 "," $1,522,474 "," $(1,122,169)",26%," $400,305 "," $1,522,474 "
Quartexx Management,Darren Ferris,05/07/1994,30,Josh,Anderson,Josh Anderson," $1,850,000 "," $5,938,318 "," $2,100,000 "," $(164,271)"," $4,000,000 "," $3,289,361 "," $4,000,000 "," $1,161,864 "," $7,000,000 "," $2,094,329 "," $8,000,000 "," $408,254 "," $14,222,145 ",212%," $26,950,000 "," $12,727,855 "
Quartexx Management,Darren Ferris,08/06/1994,30,Andreas,Athanasiou,Andreas Athanasiou," $3,000,000 "," $5,511,959 "," $3,000,000 "," $(31,378)"," $1,200,000 "," $2,106,440 "," $2,700,000 "," $2,180,308 "," $3,000,000 "," $2,696,382 "," $4,250,000 "," $462,821 "," $4,223,468 ",133%," $17,150,000 "," $12,926,532 "
Quartexx Management,Darren Ferris,08/17/1998,26,Travis,Barron T,Travis Barron, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $100,000 "," $195,499 "," $(95,499)",51%," $100,000 "," $195,499 "
Quartexx Management,Darren Ferris,06/20/1996,28,Sam,Bennett,Sam Bennett," $1,950,000 "," $1,613,384 "," $2,550,000 "," $2,066,479 "," $2,550,000 "," $2,351,841 "," $2,925,000 "," $6,356,178 "," $3,425,000 "," $3,649,767 "," $6,350,000 "," $5,005,100 "," $(1,292,749)",94%," $19,750,000 "," $21,042,749 "
Quartexx Management,Darren Ferris,02/22/1995,29,Chris,Bigras,Chris Bigras," $874,100 "," $167,920 "," $250,000 "," $102,360 "," $250,000 "," $81,840 ", $-   , $-   , $-   , $-   , $-   , $-   ," $1,021,980 ",390%," $1,374,100 "," $352,120 "
Quartexx Management,Darren Ferris,07/15/1990,34,Zach,Bogosian,Zach Bogosian, $-   , $-   ," $1,300,000 "," $1,322,821 "," $1,000,000 "," $409,690 "," $750,000 "," $1,020,768 "," $750,000 "," $330,372 "," $1,050,000 "," $1,808,668 "," $(42,319)",99%," $4,850,000 "," $4,892,319 "
Quartexx Management,Darren Ferris,05/15/1996,28,Jalen,Chatfield,Jalen Chatfield, $-   , $-   , $-   , $-   ," $629,878 "," $(203,422)"," $685,976 "," $664,372 "," $689,024 "," $4,166,037 "," $775,000 "," $4,055,322 "," $(5,902,431)",32%," $2,779,878 "," $8,682,309 "
Quartexx Management,Darren Ferris,06/09/1999,25,Michael,DiPietro,Michael DiPietro, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $42,265 "," $80,000 "," $292,942 "," $(185,207)",45%," $150,000 "," $335,207 "
Quartexx Management,Darren Ferris,06/28/1993,31,Joel,Edmundson,Joel Edmundson," $3,000,000 "," $2,355,687 "," $3,100,000 "," $3,221,553 "," $2,750,000 "," $4,849,525 "," $3,500,000 "," $493,443 "," $4,562,500 "," $1,167,401 "," $3,187,500 "," $1,217,498 "," $6,794,893 ",151%," $20,100,000 "," $13,305,107 "
Quartexx Management,Darren Ferris,05/14/1999,25,Morgan,Frost,Morgan Frost, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $800,000 "," $3,924,028 "," $1,800,000 "," $4,443,233 "," $(5,767,261)",31%," $2,600,000 "," $8,367,261 "
Quartexx Management,Darren Ferris,04/14/1998,26,Timothy,Gettinger,Timothy Gettinger, $-   , $-   , $-   , $-   , $-   , $-   ," $75,000 "," $236,600 "," $100,000 "," $400,990 "," $250,000 "," $245,160 "," $(457,750)",48%," $425,000 "," $882,750 "
Quartexx Management,Darren Ferris,11/14/1991,33,Taylor,Hall,Taylor Hall," $6,000,000 "," $2,968,626 "," $6,000,000 "," $4,165,159 "," $8,000,000 "," $3,782,387 "," $4,500,000 "," $6,936,368 "," $7,000,000 "," $6,336,478 "," $7,250,000 "," $338,510 "," $14,222,472 ",158%," $38,750,000 "," $24,527,528 "
Quartexx Management,Darren Ferris,03/10/1993,31,Scott,Harrington,Scott Harrington," $700,000 "," $3,091,786 "," $1,600,000 "," $752,318 "," $1,600,000 "," $443,957 "," $1,700,000 "," $(102,708)"," $350,000 "," $1,675,569 ", $-   , $-   ," $89,078 ",102%," $5,950,000 "," $5,860,922 "
Quartexx Management,Darren Ferris,10/06/1990,34,Nazem,Kadri,Nazem Kadri," $4,500,000 "," $3,861,566 "," $4,500,000 "," $6,517,905 "," $4,000,000 "," $2,688,303 "," $4,000,000 "," $10,916,067 "," $7,000,000 "," $4,081,211 "," $7,000,000 "," $7,225,087 "," $(4,290,139)",88%," $31,000,000 "," $35,290,139 "
Quartexx Management,Darren Ferris,05/26/1993,31,Josh,Leivo,Josh Leivo," $925,000 "," $3,905,714 "," $1,500,000 "," $2,089,824 "," $875,000 "," $793,285 "," $750,000 "," $1,078,926 "," $750,000 "," $1,057,901 ", $-   , $-   ," $(4,125,650)",54%," $4,800,000 "," $8,925,650 "
Quartexx Management,Darren Ferris,05/05/1997,27,Mitchell,Marner,Mitchell Marner, $-   , $-   ," $16,000,000 "," $6,646,218 "," $15,000,000 "," $8,709,659 "," $10,358,000 "," $12,841,214 "," $8,000,000 "," $13,181,498 "," $8,025,000 "," $10,189,267 "," $5,815,144 ",111%," $57,383,000 "," $51,567,856 "
Quartexx Management,Darren Ferris,06/07/1998,26,Victor,Mete,Victor Mete, $-   , $-   , $-   , $-   ," $735,000 "," $1,834,875 "," $1,200,000 "," $755,527 "," $750,000 "," $455,276 "," $453,963 "," $120,897 "," $(27,612)",99%," $3,138,963 "," $3,166,575 "
Quartexx Management,Darren Ferris,09/18/1997,27,Tyler,Parsons,Tyler Parsons, $-   , $-   , $-   , $-   ," $70,000 "," $4,420 "," $70,000 ", $-   , $-   , $-   , $-   , $-   ," $135,580 ",3167%," $140,000 "," $4,420 "
Quartexx Management,Darren Ferris,08/23/1997,27,Chase,Pearson,Chase Pearson, $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $139,880 "," $70,000 "," $93,640 ", $-   , $-   ," $(93,520)",60%," $140,000 "," $233,520 "
Quartexx Management,Darren Ferris,02/15/1999,25,Isaac,Ratcliffe,Isaac Ratcliffe, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $171,180 ", $-   , $-   ," $(101,180)",41%," $70,000 "," $171,180 "
Quartexx Management,Darren Ferris,07/28/1993,31,Evan,Rodrigues,Evan Rodrigues," $650,000 "," $2,450,860 "," $2,000,000 "," $449,687 "," $700,000 "," $1,639,513 "," $1,000,000 "," $5,219,298 "," $2,000,000 "," $5,298,553 "," $3,000,000 "," $7,628,684 "," $(13,336,595)",41%," $9,350,000 "," $22,686,595 "
Quartexx Management,Darren Ferris,02/18/1999,25,Jack,Studnicka,Jack Studnicka, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $347,561 "," $168,142 "," $775,000 "," $(221,617)"," $1,176,036 ",-2099%," $1,122,561 "," $(53,475)"
Quartexx Management,Darren Ferris,11/27/1999,25,Filip,Zadina,Filip Zadina, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,100,000 "," $70,668 "," $1,029,332 ",1557%," $1,100,000 "," $70,668 "
Quartexx Management,Dave Cowan,07/20/1998,26,Dillon,Dube,Dillon Dube, $-   , $-   , $-   , $-   , $-   , $-   ," $2,200,000 "," $3,713,647 "," $2,300,000 "," $3,575,278 "," $2,400,000 "," $153,514 "," $(542,439)",93%," $6,900,000 "," $7,442,439 "
Quartexx Management,Dave Cowan,04/17/1999,25,Michael,Rasmussen,Michael Rasmussen, $-   , $-   , $-   , $-   , $-   , $-   ," $1,000,000 "," $748,424 "," $1,480,000 "," $2,241,513 "," $1,900,000 "," $3,331,584 "," $(1,941,521)",69%," $4,380,000 "," $6,321,521 "
Quartexx Management,Dave Cowan,11/24/1995,29,Dryden,Hunt,Dryden Hunt, $-   , $-   ," $310,000 "," $210,327 "," $420,732 "," $533,252 "," $453,659 "," $192,821 "," $775,000 "," $(68,922)"," $495,122 "," $1,185,837 "," $401,197 ",120%," $2,454,512 "," $2,053,315 "
Quartexx Management,Dave Cowan,10/06/1998,26,Juuso,Valimaki,Juuso Valimaki, $-   , $-   , $-   , $-   , $-   , $-   ," $1,100,000 "," $226,997 "," $2,000,000 "," $2,912,290 "," $1,000,000 "," $3,862,145 "," $(2,901,432)",59%," $4,100,000 "," $7,001,432 "
Maloney & Thompson Sports Management,Dave Maloney,09/21/2000,24,Hunter,Jones,Hunter Jones, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $29,648 "," $40,352 ",236%," $70,000 "," $29,648 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",David Cowan,09/12/1999,25,Jaret,Anderson-Dolan,Jaret Anderson-Dolan, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $345,732 "," $1,216,796 "," $775,000 "," $633,288 "," $(729,352)",61%," $1,120,732 "," $1,850,084 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",David Cowan,03/25/1997,27,Glenn,Gawdin,Glenn Gawdin, $-   , $-   , $-   , $-   ," $102,378 "," $182,851 "," $107,927 "," $451,183 "," $750,000 "," $145,277 "," $453,963 "," $364,861 "," $270,096 ",124%," $1,414,268 "," $1,144,172 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",David Gagner,12/22/1996,28,Travis,Dermott,Travis Dermott, $-   , $-   , $-   , $-   ," $874,125 "," $796,672 "," $1,250,000 "," $2,117,708 "," $1,750,000 "," $153,283 "," $663,415 "," $529,392 "," $940,485 ",126%," $4,537,540 "," $3,597,055 "
"Wasserman Media Group, LLC",David Gagner,06/27/2000,24,Kevin,Bahl,Kevin Bahl, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $900,000 "," $505,119 "," $394,881 ",178%," $900,000 "," $505,119 "
"Wasserman Media Group, LLC",David Gagner,10/20/1999,25,Evan,Bouchard,Evan Bouchard, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $3,500,000 "," $18,261,680 "," $(14,761,680)",19%," $3,500,000 "," $18,261,680 "
"Wasserman Media Group, LLC",David Gagner,12/20/1997,27,Jonathan,Dahlen,Jonathan Dahlen, $-   , $-   , $-   , $-   , $-   , $-   ," $750,000 "," $1,282,884 ", $-   , $-   , $-   , $-   ," $(532,884)",58%," $750,000 "," $1,282,884 "
"Wasserman Media Group, LLC",David Gagner,12/18/1997,27,Alexander,Debrincat,Alex DeBrincat, $-   , $-   , $-   , $-   ," $5,100,000 "," $7,084,684 "," $5,100,000 "," $7,850,394 "," $9,000,000 "," $5,558,922 ", $-   , $-   ," $(1,294,000)",94%," $19,200,000 "," $20,494,000 "
"Wasserman Media Group, LLC",David Gagner,01/12/1995,30,Ben,Harpur,Ben Harpur," $650,000 "," $76,702 "," $800,000 "," $95,040 "," $225,000 "," $1,047,898 "," $800,000 "," $(524,852)"," $300,000 "," $730,062 "," $775,000 "," $25,680 "," $2,099,470 ",245%," $3,550,000 "," $1,450,530 "
"Wasserman Media Group, LLC",David Gagner,05/05/1998,26,Jordan,Kyrou,Jordan Kyrou, $-   , $-   , $-   , $-   , $-   , $-   ," $2,400,000 "," $10,030,092 "," $3,200,000 "," $6,153,478 "," $9,000,000 "," $6,065,210 "," $(7,648,780)",66%," $14,600,000 "," $22,248,780 "
"Wasserman Media Group, LLC",David Gagner,06/17/1992,32,Greg,McKegg,Greg McKegg," $250,000 "," $2,064,561 "," $750,000 "," $576,483 "," $300,000 "," $45,417 "," $275,000 "," $93,939 "," $250,000 "," $184,950 "," $250,000 "," $200,600 "," $(1,090,950)",66%," $2,075,000 "," $3,165,950 "
"Wasserman Media Group, LLC",David Gagner,07/20/1998,26,Brett,Murray,Brett Murray, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $237,805 "," $530,460 "," $262,805 "," $223,146 "," $(252,996)",66%," $500,610 "," $753,606 "
"Wasserman Media Group, LLC",David Gagner,03/04/1998,26,Colton,Point,Colton Point, $-   , $-   , $-   , $-   , $-   , $-   ," $80,000 "," $3,604 ", $-   , $-   , $-   , $-   ," $76,396 ",2220%," $80,000 "," $3,604 "
"Wasserman Media Group, LLC",David Gagner,02/28/1996,28,Darren,Raddysh,Darren Raddysh, $-   , $-   , $-   , $-   ," $700,000 "," $107,040 "," $750,000 "," $296,466 "," $750,000 "," $1,187,819 "," $775,000 "," $4,166,364 "," $(2,782,689)",52%," $2,975,000 "," $5,757,689 "
"Wasserman Media Group, LLC",David Gagner,02/18/1998,26,Taylor,Raddysh,Taylor Raddysh, $-   , $-   , $-   , $-   , $-   , $-   ," $678,659 "," $3,517,008 "," $750,000 "," $3,481,148 "," $775,000 "," $(94,699)"," $(4,699,798)",32%," $2,203,659 "," $6,903,457 "
"Wasserman Media Group, LLC",David Gagner,08/10/1999,25,Nick,Suzuki,Nick Suzuki, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $10,000,000 "," $6,065,452 "," $10,000,000 "," $7,604,165 "," $6,330,383 ",146%," $20,000,000 "," $13,669,617 "
The Sports Corporation,David Kaye,01/28/1996,29,Reid,Duke,Reid Duke, $-   , $-   , $-   , $-   ," $85,000 "," $69,520 ", $-   , $-   , $-   , $-   , $-   , $-   ," $15,480 ",122%," $85,000 "," $69,520 "
The Sports Corporation,David Kaye,05/26/1999,25,Trey,Fix-Wolansky,Trey Fix-Wolansky, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $169,878 "," $548,308 "," $407,012 "," $981,274 "," $(952,692)",38%," $576,890 "," $1,529,582 "
The Sports Corporation,David Kaye,05/19/1994,30,Spencer,Foo,Spencer Foo, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $400,000 "," $112,760 ", $-   , $-   ," $287,240 ",355%," $400,000 "," $112,760 "
The Sports Corporation,David Kaye,02/28/1996,28,Rhett,Gardner,Rhett Gardner, $-   , $-   , $-   , $-   , $-   , $-   ," $117,805 "," $71,234 "," $750,000 "," $461,990 "," $404,573 "," $235,110 "," $504,044 ",166%," $1,272,378 "," $768,334 "
The Sports Corporation,David Kaye,04/13/1998,26,Garrett,Pilon,Garrett Pilon, $-   , $-   , $-   , $-   , $-   , $-   ," $110,000 "," $714,954 "," $750,000 "," $391,630 "," $200,000 "," $499,608 "," $(546,192)",66%," $1,060,000 "," $1,606,192 "
Shore (Company),David Shore J.r.,08/23/1996,28,Cavan,Fitzgerald,Cavan Fitzgerald, $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $241,670 "," $70,000 "," $88,960 ", $-   , $-   ," $(190,630)",42%," $140,000 "," $330,630 "
Shore (Company),David Shore J.r.,08/07/1995,29,Sheldon,Rempal,Sheldon Rempal, $-   , $-   ," $158,258 "," $127,360 "," $165,854 "," $150,935 "," $193,598 "," $613,911 "," $482,927 "," $473,843 "," $485,671 "," $648,878 "," $(528,621)",74%," $1,486,306 "," $2,014,927 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,12/19/1996,28,William,Borgen,Will Borgen, $-   , $-   , $-   , $-   , $-   , $-   ," $900,000 "," $701,658 "," $900,000 "," $2,927,262 "," $2,500,000 "," $1,522,644 "," $(851,564)",83%," $4,300,000 "," $5,151,564 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,05/27/1990,34,Nic,Dowd,Nic Dowd," $650,000 "," $3,083,342 "," $700,000 "," $1,670,344 "," $750,000 "," $2,338,426 "," $800,000 "," $2,593,646 "," $1,600,000 "," $2,935,400 "," $1,300,000 "," $1,114,493 "," $(7,935,651)",42%," $5,800,000 "," $13,735,651 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,11/23/1997,27,Walker,Duehr,Walker Duehr, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $775,000 "," $427,831 "," $347,169 ",181%," $775,000 "," $427,831 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,03/06/1992,32,Kevin,Gravel,Kevin Gravel," $700,000 "," $883,917 "," $700,000 "," $102,544 ", $-   , $-   ," $250,000 "," $183,910 "," $275,000 "," $478,615 "," $275,000 "," $125,743 "," $425,271 ",124%," $2,200,000 "," $1,774,729 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,09/19/1994,30,Luke,Johnson,Luke Johnson, $-   , $-   ," $175,000 "," $143,293 "," $200,000 "," $(103,926)"," $275,000 "," $93,960 ", $-   , $-   , $-   , $-   ," $516,673 ",488%," $650,000 "," $133,327 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,06/05/1996,28,Brady,Keeper,Brady Keeper, $-   , $-   , $-   , $-   ," $125,000 "," $25,738 "," $750,000 ", $-   ," $775,000 "," $55,970 "," $250,000 "," $6,000 "," $1,812,292 ",2166%," $1,900,000 "," $87,708 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,01/21/1991,34,Brayden,McNabb,Brayden McNabb," $3,000,000 "," $3,722,025 "," $2,500,000 "," $2,945,571 "," $2,500,000 "," $3,796,066 "," $2,000,000 "," $3,410,445 "," $3,600,000 "," $5,928,210 "," $2,750,000 "," $7,006,397 "," $(10,458,714)",61%," $16,350,000 "," $26,808,714 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,01/03/1999,26,Ryan,Poehling,Ryan Poehling, $-   , $-   , $-   , $-   , $-   , $-   ," $717,988 "," $1,293,455 "," $750,000 "," $1,316,602 "," $1,400,000 "," $3,409,616 "," $(3,151,685)",48%," $2,867,988 "," $6,019,673 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,12/18/1995,29,Colton,Poolman,Colton Poolman, $-   , $-   , $-   , $-   , $-   , $-   ," $80,000 "," $187,200 "," $90,000 "," $183,920 "," $150,000 "," $114,740 "," $(165,860)",66%," $320,000 "," $485,860 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,06/08/1993,31,Tucker,Poolman,Tucker Poolman," $650,000 "," $2,022,769 "," $825,000 "," $1,821,209 "," $850,000 "," $1,490,972 "," $1,750,000 "," $1,098,939 "," $2,250,000 "," $308,923 "," $3,000,000 ", $-   ," $2,582,188 ",138%," $9,325,000 "," $6,742,812 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,11/28/1996,28,Zach,Whitecloud,Zach Whitecloud, $-   , $-   , $-   , $-   ," $700,000 "," $3,173,707 "," $750,000 "," $5,079,223 "," $3,000,000 "," $4,958,664 "," $3,000,000 "," $1,925,536 "," $(7,687,130)",49%," $7,450,000 "," $15,137,130 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dom Deblois,12/27/1997,27,Frederic,Allard,Frederic Allard, $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $155,760 "," $115,000 "," $302,608 ", $-   , $-   ," $(273,368)",40%," $185,000 "," $458,368 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dom Deblois,03/27/1995,29,Laurent,Dauphin,Laurent Dauphin," $70,000 "," $244,142 "," $100,000 "," $315,600 "," $175,000 "," $180,440 "," $175,000 "," $345,592 "," $300,000 "," $251,837 ", $-   , $-   ," $(517,611)",61%," $820,000 "," $1,337,611 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Don Meehan,01/18/1990,35,Alex,Pietrangelo,Alex Pietrangelo," $7,000,000 "," $10,122,453 "," $7,500,000 "," $8,413,308 "," $5,000,000 "," $7,592,240 "," $5,000,000 "," $5,911,410 "," $8,000,000 "," $10,709,695 "," $12,300,000 "," $4,954,960 "," $(2,904,066)",94%," $44,800,000 "," $47,704,066 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Don Meehan,01/26/1998,27,Mitchell,Chaffee,Mitchell Chaffee, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $353,659 "," $83,440 "," $442,073 "," $1,244,138 "," $(531,846)",60%," $795,732 "," $1,327,578 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Don Meehan,02/22/1997,27,Ilya,Samsonov,Ilya Samsonov, $-   , $-   , $-   , $-   , $-   , $-   ," $2,000,000 "," $2,356,989 "," $1,800,000 "," $8,697,520 "," $3,550,000 "," $1,834,648 "," $(5,539,157)",57%," $7,350,000 "," $12,889,157 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Don Meehan,05/16/1992,32,Jeff,Skinner,Jeff Skinner," $6,000,000 "," $8,170,284 "," $10,000,000 "," $2,162,440 "," $10,000,000 "," $1,167,584 "," $10,000,000 "," $6,312,468 "," $10,000,000 "," $9,587,981 "," $10,000,000 "," $4,580,909 "," $24,018,334 ",175%," $56,000,000 "," $31,981,666 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Don Meehan,02/07/1990,34,Steven,Stamkos,Steven Stamkos," $9,500,000 "," $11,607,574 "," $9,500,000 "," $8,148,975 "," $9,500,000 "," $6,831,979 "," $7,500,000 "," $15,900,599 "," $6,500,000 "," $8,505,178 "," $6,500,000 "," $7,895,457 "," $(9,889,762)",83%," $49,000,000 "," $58,889,762 "
Achieve Sports Management,Doug Shepherd,02/18/1994,30,Ross,Johnston,Ross Johnston," $1,000,000 "," $80,076 "," $1,000,000 "," $(1,064,579)"," $1,000,000 "," $(835,429)"," $1,000,000 "," $(246,675)"," $1,100,000 "," $(601,355)"," $1,100,000 "," $(2,641,217)"," $11,509,179 ",-117%," $6,200,000 "," $(5,309,179)"
Achieve Sports Management,Doug Shepherd,07/08/1996,28,Zack,MacEwen,Zack MacEwen, $-   , $-   , $-   , $-   ," $700,000 "," $(749,417)"," $950,000 "," $(1,943,250)"," $925,000 "," $(729,740)"," $775,000 "," $(950,698)"," $7,723,105 ",-77%," $3,350,000 "," $(4,373,105)"
Drew Shore,Drew Shore,03/03/1992,32,Alexander,Petrovic,Alexander Petrovic," $1,950,000 ", $-   ," $378,963 "," $143,040 "," $304,878 "," $93,440 "," $330,183 "," $134,280 "," $354,878 "," $424,580 "," $355,183 "," $318,236 "," $2,560,509 ",330%," $3,674,085 "," $1,113,576 "
Forward Hockey,Eric Quinlan & Nicholas Martino,04/28/1995,29,Connor,Clifton,Connor Clifton, $-   , $-   , $-   , $-   ," $1,000,000 "," $1,554,209 "," $1,000,000 "," $1,469,701 "," $1,000,000 "," $4,206,179 "," $3,333,334 "," $1,909,532 "," $(2,806,287)",69%," $6,333,334 "," $9,139,621 "
Forward Hockey,Eric Quinlan & Nicholas Martino,07/07/2000,24,Jordan,Harris,Jordan Harris, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,400,000 "," $1,834,917 "," $(434,917)",76%," $1,400,000 "," $1,834,917 "
Sport Prospects Inc.,Erik Lupien,02/06/2000,24,Gabriel,Fortier,Gabriel Fortier, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $100,000 "," $325,666 "," $(225,666)",31%," $100,000 "," $325,666 "
Sport Prospects Inc.,Erik Lupien,12/07/1992,32,Sean,Couturier,Sean Couturier," $4,250,000 "," $8,680,654 "," $4,500,000 "," $8,264,393 "," $4,750,000 "," $4,443,436 "," $4,750,000 "," $1,105,009 "," $7,750,000 ", $-   ," $9,000,000 "," $3,085,418 "," $9,421,090 ",137%," $35,000,000 "," $25,578,910 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Eustace King,04/16/1994,30,Gemel,Smith,Gemel Smith," $720,000 "," $682,643 "," $70,000 "," $583,505 "," $250,000 "," $268,952 "," $250,000 "," $(36,959)"," $250,000 "," $364,440 ", $-   , $-   ," $(322,581)",83%," $1,540,000 "," $1,862,581 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Eustace King,02/27/1998,26,Givani,Smith,Givani Smith, $-   , $-   , $-   , $-   , $-   , $-   ," $750,000 "," $(1,714,640)"," $750,000 "," $(1,276,871)"," $800,000 "," $(924,051)"," $6,215,562 ",-59%," $2,300,000 "," $(3,915,562)"
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Eustace King,11/29/1989,35,Jared,Spurgeon,Jared Spurgeon," $5,500,000 "," $6,413,029 "," $5,500,000 "," $5,960,639 "," $9,000,000 "," $4,499,535 "," $9,000,000 "," $9,698,942 "," $6,000,000 "," $8,514,179 "," $8,000,000 "," $1,444,984 "," $6,468,692 ",118%," $43,000,000 "," $36,531,308 "
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Eustace King,04/07/1994,30,Troy,Stecher,Troy Stecher," $2,325,000 "," $3,637,291 "," $2,325,000 "," $4,487,226 "," $1,200,000 "," $1,098,504 "," $2,200,000 "," $1,484,514 "," $1,250,000 "," $1,593,038 "," $1,100,000 "," $1,550,399 "," $(3,450,972)",75%," $10,400,000 "," $13,850,972 "
